Emotion,Timestamp
Angry,2023-11-18 08:32:55
Angry,2023-11-18 08:32:55
Angry,2023-11-18 08:32:55
Angry,2023-11-18 08:32:55
Angry,2023-11-18 08:32:55
Angry,2023-11-18 08:32:55
Angry,2023-11-18 08:32:56
Angry,2023-11-18 08:32:56
Sad,2023-11-18 08:32:56
Sad,2023-11-18 08:32:56
Angry,2023-11-18 08:32:56
Sad,2023-11-18 08:32:56
Angry,2023-11-18 08:32:56
Sad,2023-11-18 08:32:56
Sad,2023-11-18 08:32:56
Angry,2023-11-18 08:32:56
Angry,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Happy,2023-11-18 08:32:57
Neutral,2023-11-18 08:32:58
Happy,2023-11-18 08:32:58
Neutral,2023-11-18 08:32:58
Neutral,2023-11-18 08:32:58
Neutral,2023-11-18 08:32:58
Neutral,2023-11-18 08:32:58
Happy,2023-11-18 08:32:58
Happy,2023-11-18 08:32:58
Happy,2023-11-18 08:32:58
Happy,2023-11-18 08:32:58
Happy,2023-11-18 08:32:58
Angry,2023-11-18 08:32:59
Angry,2023-11-18 08:32:59
Angry,2023-11-18 08:32:59
Angry,2023-11-18 08:32:59
Neutral,2023-11-18 08:32:59
Neutral,2023-11-18 08:32:59
Neutral,2023-11-18 08:32:59
Neutral,2023-11-18 08:32:59
Happy,2023-11-18 08:32:59
Happy,2023-11-18 08:32:59
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:00
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:01
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:02
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:03
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:04
Happy,2023-11-18 08:33:05
Happy,2023-11-18 08:33:05
Happy,2023-11-18 08:33:05
Neutral,2023-11-18 08:33:05
Neutral,2023-11-18 08:33:05
Happy,2023-11-18 08:33:05
Happy,2023-11-18 08:33:05
Happy,2023-11-18 08:33:05
Happy,2023-11-18 08:33:05
